Datum;Todesfaelle;KH intensiv;KH nicht intensiv;Infziert ohne KH;Genesen;Gesamt;Quarantaene;Inzidenz
24.03.20;2;8;19;237;4;270;375;0
25.03.20;2;12;25;244;6;289;400;3,1
26.03.20;2;14;32;265;6;319;347;7,9
27.03.20;2;18;38;245;39;342;442;11,6
28.03.20;2;22;34;251;52;361;510;14,6
29.03.20;2;25;39;243;52;361;536;17,7
30.03.20;4;24;41;289;54;412;500;25,9
31.03.20;4;27;39;283;107;460;500;33,6
01.04.20;4;33;38;314;107;496;460;39,4
02.04.20;4;33;38;297;171;543;380;43,9
03.04.20;4;33;48;264;226;575;355;44,2
04.04.20;4;37;46;258;241;586;355;41,1
05.04.20;4;39;47;255;241;586;355;41
06.04.20;7;37;43;321;241;649;332;48,1
07.04.20;7;41;39;315;279;681;301;45
08.04.20;9;41;35;343;291;719;300;43,4
09.04.20;9;41;29;342;316;737;200;40,5
10.04.20;9;46;27;330;338;750;255;35,1
11.04.20;9;45;24;320;362;760;226;29,7
12.04.20;10;46;20;313;382;771;226;29,7
13.04.20;13;47;24;314;390;788;205;22,4
14.04.20;13;45;26;332;390;806;200;20,1
15.04.20;14;42;24;299;458;837;200;19
16.04.20;14;41;22;296;485;858;220;19,5
17.04.20;14;39;24;269;531;877;250;20,4
18.04.20;14;39;26;247;562;888;220;20,6
19.04.20;14;39;30;256;572;911;193;22,5
20.04.20;16;35;27;268;581;927;200;22,4
21.04.20;17;37;20;230;635;939;200;21,4
22.04.20;19;34;26;213;657;949;172;18
23.04.20;22;27;31;179;700;959;219;16,2
24.04.20;22;25;28;169;722;966;215;14,3
25.04.20;22;27;21;174;726;970;209;13,2
26.04.20;23;28;23;169;737;980;200;11,1
27.04.20;24;26;20;167;766;1003;200;12,2
28.04.20;24;25;23;179;766;1017;190;12,5
29.04.20;24;24;22;173;786;1029;190;12,9
30.04.20;24;20;20;169;817;1050;240;14,6
01.05.20;24;23;17;163;833;1060;235;15,1
02.05.20;24;22;20;156;852;1074;231;16,7
03.05.20;24;23;19;145;878;1089;240;17,5
04.05.20;24;21;17;142;885;1089;240;13,8
05.05.20;24;16;20;143;910;1113;232;15,4
06.05.20;25;18;19;172;913;1147;360;19
07.05.20;26;15;17;174;924;1156;308;17
08.05.20;27;15;22;167;933;1163;315;16,6
09.05.20;27;15;21;175;939;1177;324;16,6
10.05.20;27;15;20;179;943;1184;332;15,3
11.05.20;27;16;17;187;952;1199;330;17,7
12.05.20;28;15;16;171;974;1204;310;14,6
13.05.20;28;15;20;177;989;1229;322;13,2
14.05.20;28;13;23;188;999;1251;340;15,3
15.05.20;30;13;17;178;1021;1259;342;15,4
16.05.20;30;14;16;181;1028;1269;352;14,8
17.05.20;30;12;16;181;1039;1278;355;15,1
18.05.20;30;13;15;171;1054;1283;331;13,5
19.05.20;30;13;15;178;1056;1292;341;14,2
20.05.20;30;13;15;175;1081;1314;280;13,7
21.05.20;30;10;16;153;1115;1324;278;11,7
22.05.20;30;9;12;164;1124;1339;266;12,9
23.05.20;30;5;14;162;1130;1341;260;11,6
24.05.20;30;5;13;186;1142;1376;260;15,8
25.05.20;30;5;11;190;1148;1384;265;16,2
26.05.20;30;5;14;181;1164;1394;279;16,4
27.05.20;30;5;15;192;1169;1411;279;15,6
28.05.20;30;3;13;174;1200;1420;285;15,4
29.05.20;30;5;13;166;1216;1430;280;14,6
30.05.20;30;4;9;170;1227;1440;280;15,9
31.05.20;31;3;11;162;1237;1444;276;10,9
01.06.20;31;3;11;157;1246;1448;283;10,3
02.06.20;31;3;12;150;1252;1448;279;8,7
03.06.20;31;2;11;147;1265;1456;263;7,2
04.06.20;32;2;12;135;1285;1466;260;7,4
05.06.20;33;1;13;126;1306;1479;258;7,9
06.06.20;33;3;13;131;1308;1488;255;7,7
07.06.20;33;6;13;126;1310;1488;251;7,1
08.06.20;33;3;13;120;1327;1496;245;7,7
09.06.20;33;4;13;122;1350;1522;238;11,9
10.06.20;33;3;9;115;1364;1524;242;10,9
11.06.20;33;4;10;104;1380;1531;235;10,5
12.06.20;33;4;8;107;1386;1538;240;9,5
13.06.20;33;3;10;96;1396;1538;237;8
14.06.20;33;3;9;102;1405;1552;231;10,3
15.06.20;33;3;9;104;1410;1559;227;10,1
16.06.20;36;3;7;114;1410;1570;225;7,7
