Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A35-A59	1	0	0	2021-02-09	W	1	2021-02-07	-9	0	-9	142703	2021-02-03
A15-A34	1	0	0	2021-02-09	W	0	2021-02-07	-9	1	-9	143096	2021-02-07
A35-A59	1	0	0	2021-02-09	W	1	2021-02-07	-9	0	-9	142704	2021-02-05
A15-A34	1	0	0	2021-02-09	M	0	2021-02-07	-9	1	-9	143551	2021-02-07
A35-A59	1	0	0	2021-02-09	W	1	2021-02-07	-9	0	-9	142705	2021-02-06
A80+	1	0	0	2021-02-09	M	0	2021-02-07	-9	1	-9	146639	2021-02-07
A35-A59	2	0	0	2021-02-09	W	0	2021-02-07	-9	0	-9	142706	2021-02-07
A15-A34	1	0	0	2021-02-09	W	1	2021-02-07	-9	0	-9	143094	2021-02-01
A15-A34	5	0	0	2021-02-09	W	0	2021-02-07	-9	0	-9	143095	2021-02-07
A15-A34	2	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	143548	2021-02-01
A15-A34	1	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	143549	2021-02-02
A15-A34	1	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	143550	2021-02-04
A15-A34	7	0	0	2021-02-09	M	0	2021-02-07	-9	0	-9	143552	2021-02-07
A35-A59	1	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	144152	2021-02-01
A35-A59	1	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	144153	2021-02-03
A35-A59	1	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	144154	2021-02-04
A35-A59	2	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	144155	2021-02-05
A35-A59	7	0	0	2021-02-09	M	0	2021-02-07	-9	0	-9	144156	2021-02-07
A60-A79	1	0	0	2021-02-09	M	1	2021-02-07	-9	0	-9	144562	2021-02-01
A60-A79	3	0	0	2021-02-09	M	0	2021-02-07	-9	0	-9	144563	2021-02-07
A80+	1	0	0	2021-02-09	W	0	2021-02-07	-9	0	-9	146950	2021-02-07
A05-A14	1	0	0	2021-02-09	M	1	2021-02-06	-9	0	-9	141410	2021-02-04
A80+	1	0	0	2021-02-09	W	1	2021-02-06	-9	0	-9	146948	2021-01-25
A15-A34	1	0	0	2021-02-09	M	0	2021-02-06	-9	1	-9	143547	2021-02-06
A80+	1	0	0	2021-02-09	W	0	2021-02-06	-9	0	-9	146949	2021-02-06
A05-A14	1	0	0	2021-02-09	M	1	2021-02-06	-9	0	-9	141411	2021-02-05
A60-A79	2	0	0	2021-02-09	W	1	2021-02-06	-9	0	-9	144922	2021-02-03
A60-A79	1	0	0	2021-02-09	M	1	2021-02-06	-9	0	-9	144560	2021-02-04
A60-A79	2	0	0	2021-02-09	M	0	2021-02-06	-9	0	-9	144561	2021-02-06
A35-A59	1	0	0	2021-02-09	M	1	2021-02-06	-9	0	-9	144149	2021-02-01
A35-A59	2	0	0	2021-02-09	M	1	2021-02-06	-9	0	-9	144150	2021-02-05
A35-A59	3	0	0	2021-02-09	M	0	2021-02-06	-9	0	-9	144151	2021-02-06
A15-A34	2	0	0	2021-02-09	M	0	2021-02-06	-9	0	-9	143546	2021-02-06
A15-A34	1	1	0	2021-02-09	W	1	2021-02-06	1	0	-9	143091	2021-01-26
A15-A34	2	0	0	2021-02-09	W	1	2021-02-06	-9	0	-9	143092	2021-02-04
A15-A34	3	0	0	2021-02-09	W	0	2021-02-06	-9	0	-9	143093	2021-02-06
A35-A59	2	0	0	2021-02-09	W	1	2021-02-06	-9	0	-9	142700	2021-02-03
A35-A59	1	0	0	2021-02-09	W	1	2021-02-06	-9	0	-9	142701	2021-02-04
A35-A59	3	0	0	2021-02-09	W	0	2021-02-06	-9	0	-9	142702	2021-02-06
A05-A14	1	0	0	2021-02-09	M	1	2021-02-05	-9	0	-9	141409	2021-02-02
A35-A59	1	1	0	2021-02-09	W	1	2021-02-05	0	0	-9	142695	2021-01-23
A00-A04	4	0	0	2021-02-09	W	0	2021-02-05	-9	0	-9	141237	2021-02-05
A35-A59	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	142696	2021-01-30
A05-A14	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	142071	2021-02-04
A35-A59	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	142697	2021-01-31
A35-A59	2	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	142698	2021-02-01
A35-A59	4	0	0	2021-02-09	W	0	2021-02-05	-9	0	-9	142699	2021-02-05
A15-A34	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	143085	2021-01-22
A15-A34	2	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	143086	2021-02-01
A15-A34	2	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	143087	2021-02-02
A15-A34	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	143088	2021-02-04
A15-A34	3	0	0	2021-02-09	W	0	2021-02-05	-9	0	-9	143089	2021-02-05
A15-A34	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	143090	2021-02-05
A15-A34	5	0	0	2021-02-09	M	0	2021-02-05	-9	0	-9	143545	2021-02-05
A35-A59	1	1	0	2021-02-09	M	1	2021-02-05	0	0	-9	144146	2021-01-23
A35-A59	1	0	0	2021-02-09	M	1	2021-02-05	-9	0	-9	144147	2021-02-04
A35-A59	9	0	0	2021-02-09	M	0	2021-02-05	-9	0	-9	144148	2021-02-05
A35-A59	1	0	0	2021-02-09	unbekannt	0	2021-02-05	-9	0	-9	144178	2021-02-05
A60-A79	1	0	0	2021-02-09	M	0	2021-02-05	-9	0	-9	144559	2021-02-05
A60-A79	1	1	0	2021-02-09	W	1	2021-02-05	0	0	-9	144917	2020-01-29
A60-A79	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	144918	2021-01-27
A60-A79	1	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	144919	2021-02-01
A60-A79	2	0	0	2021-02-09	W	1	2021-02-05	-9	0	-9	144920	2021-02-03
A60-A79	3	0	0	2021-02-09	W	0	2021-02-05	-9	0	-9	144921	2021-02-05
A80+	1	0	0	2021-02-09	M	1	2021-02-05	-9	0	-9	146636	2021-01-29
A80+	1	0	0	2021-02-09	M	1	2021-02-05	-9	0	-9	146637	2021-02-03
A80+	2	0	0	2021-02-09	M	0	2021-02-05	-9	0	-9	146638	2021-02-05
A80+	3	0	0	2021-02-09	W	0	2021-02-05	-9	0	-9	146947	2021-02-05
A00-A04	1	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	141236	2021-02-01
A80+	6	0	0	2021-02-09	W	0	2021-02-04	-9	0	-9	146946	2021-02-04
A00-A04	2	0	0	2021-02-09	M	0	2021-02-04	-9	0	-9	141129	2021-02-04
A80+	3	0	0	2021-02-09	M	0	2021-02-04	-9	0	-9	146634	2021-02-04
A05-A14	2	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	141408	2021-02-01
A80+	1	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	146635	2021-02-04
A60-A79	2	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	144915	2021-01-29
A60-A79	3	0	0	2021-02-09	W	0	2021-02-04	-9	0	-9	144916	2021-02-04
A60-A79	1	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	144555	2021-01-30
A60-A79	1	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	144556	2021-02-01
A60-A79	5	0	0	2021-02-09	M	0	2021-02-04	-9	0	-9	144557	2021-02-04
A60-A79	1	0	1	2021-02-09	M	0	2021-02-04	-9	0	0	144558	2021-02-04
A35-A59	1	1	0	2021-02-09	M	1	2021-02-04	0	0	-9	144140	2021-01-25
A35-A59	1	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	144141	2021-01-31
A35-A59	4	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	144142	2021-02-01
A35-A59	1	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	144143	2021-02-02
A35-A59	1	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	144144	2021-02-03
A35-A59	4	0	0	2021-02-09	M	0	2021-02-04	-9	0	-9	144145	2021-02-04
A15-A34	3	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	143541	2021-02-02
A15-A34	2	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	143542	2021-02-03
A15-A34	1	0	0	2021-02-09	M	0	2021-02-04	-9	0	-9	143543	2021-02-04
A15-A34	1	0	0	2021-02-09	M	1	2021-02-04	-9	0	-9	143544	2021-02-04
A15-A34	1	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	143081	2021-01-30
A15-A34	1	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	143082	2021-02-02
A15-A34	1	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	143083	2021-02-03
A15-A34	3	0	0	2021-02-09	W	0	2021-02-04	-9	0	-9	143084	2021-02-04
A35-A59	1	1	0	2021-02-09	W	1	2021-02-04	0	0	-9	142689	2021-01-20
A35-A59	1	1	0	2021-02-09	W	1	2021-02-04	0	0	-9	142690	2021-01-25
A35-A59	1	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	142691	2021-01-30
A35-A59	2	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	142692	2021-02-01
A35-A59	2	0	0	2021-02-09	W	1	2021-02-04	-9	0	-9	142693	2021-02-02
A35-A59	2	0	0	2021-02-09	W	0	2021-02-04	-9	0	-9	142694	2021-02-04
A60-A79	1	0	0	2021-02-09	W	0	2021-02-03	-9	1	-9	144914	2021-02-03
A35-A59	3	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	142686	2021-01-31
A05-A14	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	141407	2021-01-27
A35-A59	4	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	142687	2021-02-01
A00-A04	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	141127	2021-01-30
A35-A59	2	0	0	2021-02-09	W	0	2021-02-03	-9	0	-9	142688	2021-02-03
A00-A04	1	0	0	2021-02-09	M	0	2021-02-03	-9	0	-9	141128	2021-02-03
A15-A34	1	1	0	2021-02-09	W	1	2021-02-03	0	0	-9	143076	2021-01-15
A00-A04	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	141235	2021-02-01
A15-A34	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	143077	2021-01-27
A05-A14	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	142070	2021-01-30
A15-A34	2	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	143078	2021-01-30
A15-A34	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	143079	2021-01-31
A15-A34	4	0	0	2021-02-09	W	0	2021-02-03	-9	0	-9	143080	2021-02-03
A15-A34	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	143538	2021-01-29
A15-A34	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	143539	2021-01-31
A15-A34	2	0	0	2021-02-09	M	0	2021-02-03	-9	0	-9	143540	2021-02-03
A35-A59	1	1	0	2021-02-09	M	1	2021-02-03	0	0	-9	144132	2021-01-24
A35-A59	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	144133	2021-01-27
A35-A59	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	144134	2021-01-28
A35-A59	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	144135	2021-01-30
A35-A59	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	144136	2021-01-31
A35-A59	4	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	144137	2021-02-01
A35-A59	1	0	0	2021-02-09	M	1	2021-02-03	-9	0	-9	144138	2021-02-02
A35-A59	8	0	0	2021-02-09	M	0	2021-02-03	-9	0	-9	144139	2021-02-03
A60-A79	1	0	1	2021-02-09	M	1	2021-02-03	-9	0	0	144553	2021-01-26
A60-A79	2	0	0	2021-02-09	M	0	2021-02-03	-9	0	-9	144554	2021-02-03
A60-A79	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	144910	2021-01-28
A60-A79	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	144911	2021-02-01
A60-A79	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	144912	2021-02-02
A60-A79	3	0	0	2021-02-09	W	0	2021-02-03	-9	0	-9	144913	2021-02-03
A80+	1	0	0	2021-02-09	M	0	2021-02-03	-9	0	-9	146633	2021-02-03
A80+	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	146943	2021-01-22
A80+	1	0	0	2021-02-09	W	1	2021-02-03	-9	0	-9	146944	2021-02-02
A80+	5	0	0	2021-02-09	W	0	2021-02-03	-9	0	-9	146945	2021-02-03
